api_title,활용가능 속성 목록,선택한 이유
4대보험 완납증명서_국민건강보험,보험구분(건강),이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
각 장기나이 분석_메디에이지,"W:위험신호, F:기능성 영양식품, 효과(위험신호일 경우 효과는 제공되지 않음)",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
개인별건강보험료산출내역_국민건강보험,"지원금, 충당액 및 납부한 금액 등, 구분(건강/요양/합계)",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
개인별고용보험료산출내역_국민건강보험,"지원금, 충당액 및 납부한 금액 등, 두루누리 지원금",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
개인별산재보험료산출내역_국민건강보험,"지원금, 충당액 및 납부한 금액 등",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
개인별연금보험료산출내역_국민건강보험,"두루누리 지원금, 지원금, 충당액 및 납부한 금액2, 지원금, 충당액 및 납부한 금액1",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강검진결과목록조회_국민건강보험,"건강검진결과 목록, 문진정보 key(연도별건강검진결과조회 시 문진정보  조회 키값), 검진결과 key(연도별건강검진결과조회 시 검진결과 조회 키값)",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강검진대상조회_국민건강보험,"국가암의료비지원대상 관할보건소, 국가암의료비지원대상",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강나이 알아보기_국민건강보험,"건강검진일, 건강나이",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강나이알아보기 조회_국민건강보험,"건강위험요인 결과메시지, 건강나이, 건강위험요인 표, 위험요인",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강보험 납부확인서_국민건강보험,"지역납부 건강보험료, 지역고지 요양보험료, 직장고지 건강보험료, 지역고지 건강보험료, 지역납부 요양보험료, 소득고지 건강보험료, 소득납부 건강보험료, 직장납부 건강보험료",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강보험료고지납부현황_국민건강보험,"건강보험료고지납부 목록, 건강_납부일, 건강_납부마감일, 건강_미납보험료, 건강_수납총보험료, 건강_고지금액, 건강_수납보험료, 건강_미납연체금, 건강_미납총보험료, 건강_수납연체금",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건축물대장 열람_정부24,지역,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
검진정보목록 조회_국민건강보험,건강증세,이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
경매 물건 상세조회_경매다,"물건지역내 개발계획 리스트, 부동산의 구분 (대지권,토지,건물)",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
골다공증성 골절예측 조회_국민건강보험,"골다공증성 골절예측위험도 처방메시지, 건강위험요인 표, 위험요인",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
기업평가내용 상세조회_벤처기업확인기관,"위험감수성 평가근거, 위험감수성 점수",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
꿀시세 조회_KB부동산,"지역내 비교(매매), 지역내 비교(전세)",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
내 진료정보 조회_건강보험심사평가원,"건강보험 등 혜택받은 금액, 내가 낸 의료비(진료비), 총 진료비(건강보험 적용분)",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
뇌졸중예측 조회_국민건강보험,"뇌졸중예측위험도 처방메시지, 위험요인 표, 위험요인",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
당뇨병예측 조회_국민건강보험,"당뇨병에 영향을 미치는 주요 건강검진 항목, 위험단계",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
매출조회_배달의민족,배달비지원,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
매출조회_요기요,본사할인지원금금액,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
배달비 조회_비버웍스,"특정 주소 할증 배달비(지역 할증, 기본 0)",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
법인 열람/발급내역 조회_인터넷등기소,"부동산 결제건수, 부동산 열람 통수, 부동산/법인, 부동산 열람 수수료, 부동산 발급 통수, 부동산 발급 수수료, 부동산 취소건수",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
부동산 가격산정 데이터_밸류쇼핑,"용도지역, 용도 지역",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산 단지별 조회_네이버부동산,"KB부동산 시세, 한국부동산원 시세, 부동산뱅크 시세, 종합부동산세, 부동산구분명, (지역) 학급당 평균 학생수, 전년도 연간 급식비 지원 총액, (지역) 교사당 평균 학생수, 전년도 급식지원 대상 학생수",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산 소유현황 조회_인터넷등기소,"부동산 소유현황 목록, 부동산 고유번호, 부동산의 표시",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산 시세 추정(조회)_태평양감정평가법인,용도지역,이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
"부동산 조회(사무실,상가)_네이버부동산","부동산 정보, 지역, 부동산 전화번호, (지역) 학급당 평균 학생수, 전년도 연간 급식비 지원 총액, (지역) 교사당 평균 학생수, 전년도 급식지원 대상 학생수, 부동산 이름, 시세(테이블) - KB부동산, 시세(테이블) - 한국부동산원, 시세(테이블) - 부동산뱅크, 용도지역",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
"부동산 조회(사무실,상가)_읍면동 단위","checkRegion 조회 시, 지역정보, 지역이름, 지역단위, selectRegion 조회 시, 부동산 정보, 지역, 부동산 전화번호, (지역) 학급당 평균 학생수, 전년도 연간 급식비 지원 총액, (지역) 교사당 평균 학생수, 전년도 급식지원 대상 학생수, 부동산 이름, 시세(테이블) - KB부동산, 시세(테이블) - 한국부동산원, 시세(테이블) - 부동산뱅크, 용도지역",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
"부동산 조회(아파트, 오피스텔)_네이버부동산","부동산 정보, 지역, 부동산 전화번호, (지역) 학급당 평균 학생수, 전년도 연간 급식비 지원 총액, (지역) 교사당 평균 학생수, 전년도 급식지원 대상 학생수, 부동산 이름, 시세(테이블) - KB부동산, 시세(테이블) - 한국부동산원, 시세(테이블) - 부동산뱅크, 부동산 구분 명, 부동산 구분 코드, 용도지역",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
"부동산 조회(아파트, 오피스텔)_읍면동 단위","checkRegion 조회 시, 지역정보, 지역이름, 지역단위, selectRegion 조회 시, 부동산 정보, 지역, 부동산 전화번호, (지역) 학급당 평균 학생수, 전년도 연간 급식비 지원 총액, (지역) 교사당 평균 학생수, 전년도 급식지원 대상 학생수, 부동산 이름, 시세(테이블) - KB부동산, 시세(테이블) - 한국부동산원, 시세(테이블) - 부동산뱅크, 용도지역",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
"부동산 조회(원룸, 투룸)_네이버부동산","부동산 정보, 지역, 부동산 전화번호, (지역) 학급당 평균 학생수, 전년도 연간 급식비 지원 총액, (지역) 교사당 평균 학생수, 전년도 급식지원 대상 학생수, 부동산 이름, 시세(테이블) - KB부동산, 시세(테이블) - 한국부동산원, 시세(테이블) - 부동산뱅크, 부동산 구분 명, 부동산 구분 코드, 용도지역",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
"부동산 조회(원룸, 투룸)_읍면동 단위","checkRegion 조회 시, 지역정보, 지역이름, 지역단위, selectRegion 조회 시, 부동산 정보, 지역, 부동산 전화번호, (지역) 학급당 평균 학생수, 전년도 연간 급식비 지원 총액, (지역) 교사당 평균 학생수, 전년도 급식지원 대상 학생수, 부동산 이름, 시세(테이블) - KB부동산, 시세(테이블) - 한국부동산원, 시세(테이블) - 부동산뱅크, 용도지역",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산등기 공동담보목록 조회_인터넷등기소,부동산 고유번호,이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산등기 주소검색(간편)_인터넷등기소,"부동산소재지번, 부동산고유번호",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산등기 주소검색(고유번호)_인터넷등기소,"부동산소재지번, 부동산고유번호",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산등기 주소검색(도로명)_인터넷등기소,"부동산소재지번, 부동산고유번호",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산등기 주소검색(지번)_인터넷등기소,"부동산소재지번, 부동산고유번호",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산등기부등본 열람_인터넷등기소,부동산등기부등본 결과컨테이너(요청시 xmlYn 값이 'N' 인 경우만 수신),이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산등기신청사건 간편검색 조회_인터넷등기소,"부동산소재지번, 부동산고유번호, 부동산종류",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산등기신청사건 접수번호 조회_인터넷등기소,"부동산소재지번, 부동산고유번호, 부동산종류",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산등기신청사건 처리결과 고유번호조회_인터넷등기소,"부동산소재지번, 부동산고유번호",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
사업자 정정신고 정보 조회_홈택스,임차부동산,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
사업장 국민연금 월별 납부확인서_국민연금관리공단,"납부하지 않은 연체금(보험료지원금), 납부한 연금보험료(보험료지원금), 납부할 금액(보험료지원금), 납부한 연체금(보험료지원금), 납부하지 않은 연금보험료(보험료지원금)",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
사업장보험료결정내역 조회_국민연금관리공단,"보험료지원금 이월분, 보험료지원금 전월분, 보험료지원금 계, 연금보험료 지원대상자 리스트, 지원대상연월, 전월분 국고지원금액",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
상대 암 종합 분석결과_메디에이지,"암 발생 상대 위험도 등급, 암별 발생 위험도, 상대위험도, 등급 명(양호, 주의, 경고, 위험, 고위험), 상대위험도 발생율 (10만명당), 상대위험도 발생율 설명",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
상대 암별 가이드 조회_메디에이지,해당 구간 발생 위험율,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
소득공제용 납부 확인서_국민연금관리공단,지역가입자 공제금액,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
스마일콘 PG매출 조회,"본사지원금, 즐거운지원금, 전체지원금",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
시세정보 조회_KB부동산,"투기지역여부, 조정대상지역여부",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
실거래가 공개시스템(주소/실거래가)_국토교통부,지역지구등지정여부,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
실손형 보장 통계_한국신용정보원,"보장코드(A ~ F: 실손의료비, 기타: 기타 실손)",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
심뇌혈관예측 조회_국민건강보험,"심뇌혈관에 영향을 미치는 주요 건강검진 항목, 위험단계",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
심장질환예측 조회_국민건강보험,"심장질환예측위험도 처방메시지, 건강위험요인 표, 위험요인",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
연금건강고용산재 보험료 조회_홈택스,건강보험료 리스트,이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
연말정산간소화 자료 조회(복수코드)_홈택스,"G0003 의료비, 진료 합계금액(의료비), 내역건수(실손의료보험금), 실손의료보험금 수령 리스트, 내역건수(의료비), 진료 합계금액(실손의료보험금), 의료비리스트, G0030 건강보험, 건강보험 리스트",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
"연말정산간소화 자료 조회(복수코드, 복수연도)_홈택스","G0003 의료비, 진료 합계금액(의료비), 내역건수(실손의료보험금), 실손의료보험금 수령 리스트, 내역건수(의료비), 진료 합계금액(실손의료보험금), 의료비리스트, G0030 건강보험, 건강보험 리스트",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
완납증명서_국민건강보험,건강보험료 납부유무,이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
의료비 예측 결과_메디에이지,"의료비명칭, 의료비, 의료비항목코드, 의료비코드",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
인근지역매출 조회_배달의민족,지역리스트,이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
장기나이 분석_메디에이지,"W:위험신호, F:기능성 영양식품, 효과(위험신호일 경우 효과는 제공되지 않음)",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
정산내역조회_배달의민족,"광고비지원, 할인 지원금액",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
정산내역조회_쿠팡이츠,할인 지원금액,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
주문내역_배달의민족,배달비지원,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
주문내역_요기요,본사할인지원금금액,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
주택소유확인_청약홈 ,"부동산 거래내역(주택분) 목록, 부동산 거래내역(주택분) 목록 확인메시지",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
직장가입자 보험료 조회_국민건강보험,"건강보험증번호, 정산보험료(건강), 연말정산보험료(건강), 고지보험료(건강), 산정보험료(건강), 정산사유(건강)",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
질병 종합 분석결과_메디에이지,상대 위험도,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
질병별 가이드 조회_메디에이지,"10년이내 질병 발생 위험율 코드, 10년이내 질병 발생 위험율 명, 10년이내 질병 발생 위험율, 상대위험도",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
투약 정보 조회_국민건강보험,복지부 분류,이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
페이코 PG매출 조회,기타_경기도지역화폐,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
