인덱스,예측값_전체가구의 주거빈곤가구 비율,실제값_전체가구의 주거빈곤가구 비율,시도,시군구,x1_시군구별 총 주택 수,x2_시군구별 다세대 주택 수,x3_시군구별 단독 주택 수,x4_시군구별 단독 주택 수,x5_시군구별 연립주택 수,x6_시군구별 영업용건물내주택 수,x7_시군구별 주택이외거처 수,x8_시군구별 면적20m^2?이하 수,x9_시군구별 일반가구수,x10_시군구별 일반가구의 기준미달비율,x11_시군구별 60세이상 치매환자 유병률,x12_시군구별 60세이상 치매 중등도 환자 수,x13_시군구별 60세이상 치매 중증환자 수,x14_시군구별 미세먼지 사업장 수(1종)* 보유수,x15_시군구별 미세먼지 배출시설 대비 방지시설 보유 비율,y1,y2,y3,y4,y5_전체가구의 주거빈곤가구 비율,시도코드,시군구코드,시군구2,경도,위도,일반가구수,일반가구_기준미달비율,전체가구_기준미달가구 비율,전체가구_지하거주가구 비율,전체가구_옥상거주가구 비율,전체가구_주택이외거처가구 비율,전체가구_주거빈곤가구 비율
10,0.0539343575,0.05,울산광역시,울주군,84394,1075.8,17152,40202,2850,0,22484,879,86748,3.2,6.55,991.88,598.22,34.0,0.424285714,0.03,0.0,0.0,0.02,0.05,3100000000,3171000000,,129.2424748,35.52230648,86748,3.2,0.03,0.0,0.0,0.02,0.05
145,0.0976988642,0.08,인천광역시,부평구,194930,2487.5,32313,99196,7993,0,50915,3050,113413,3.4,6.63,2173.2,1310.68,3.0,0.928251121,0.04,0.03,0.0,0.01,0.08,2800000000,2823700000,,126.7219068,37.50784204,113413,3.4,0.04,0.03,0.0,0.01,0.08
16,0.120837263,0.1,강원특별자치도,삼척시,29361,285.3,6911,9920,914,0,10834,541,30722,8.0,8.73,545.9,329.24,2.0,1.014035088,0.08,0.0,0.0,0.02,0.1,5100000000,5123000000,,129.1674889,37.44708611,30722,8.0,0.08,0.0,0.0,0.02,0.1
125,0.116892774,0.09,부산광역시,영도구,49823,535.0,10039,19874,1917,0,17189,371,50786,7.4,7.71,878.79,530.01,,,0.08,0.0,0.0,0.01,0.09,2600000000,2620000000,,129.0701861,35.08811667,50786,7.4,0.08,0.0,0.0,0.01,0.09
155,0.0568487776,0.05,대전광역시,서구,196870,2371.7,32631,88926,5877,0,64879,2847,203082,3.1,6.63,1774.27,1070.08,,,0.04,0.0,0.0,0.01,0.05,3000000000,3017000000,,127.3834158,36.35707299,203082,3.1,0.04,0.0,0.0,0.01,0.05
76,0.151865689,0.15,경상북도,영덕군,16918,147.8,4458,4765,629,0,6565,398,16952,10.4,10.48,483.69,291.72,1.0,3.0,0.11,0.0,0.0,0.03,0.15,4700000000,4777000000,,129.3683556,36.41210278,16952,10.4,0.11,0.0,0.0,0.03,0.15
127,0.0640556821,0.05,부산광역시,동래구,103176,1319.6,20602,50065,4236,0,26743,605,105881,3.6,6.75,1367.11,824.52,,,0.04,0.0,0.0,0.01,0.05,2600000000,2626000000,,129.0858556,35.20187222,105881,3.6,0.04,0.0,0.0,0.01,0.05
96,0.150418042,0.14,경상남도,거창군,25491,279.9,6465,9205,1017,0,8382,205,25832,10.7,9.95,624.55,376.67,2.0,1.625,0.11,0.0,0.01,0.03,0.14,4800000000,4888000000,,127.9116556,35.683625,25832,10.7,0.11,0.0,0.01,0.03,0.14
46,0.15573102,0.17,전북특별자치도,진안군,10348,101.3,2723,3100,549,0,3654,255,10632,10.5,10.19,323.35,195.02,,,0.11,0.0,0.01,0.05,0.17,5200000000,5272000000,,127.4269667,35.78871944,10632,10.5,0.11,0.0,0.01,0.05,0.17
26,0.145979829,0.16,강원특별자치도,고성군,11132,119.3,2865,3593,533,0,3823,223,11700,9.8,8.74,265.18,159.94,1.0,3.0,0.11,0.0,0.0,0.05,0.16,5100000000,5182000000,,128.4701639,38.37796111,11700,9.8,0.11,0.0,0.0,0.05,0.16
105,0.159635575,0.19,서울특별시,성북구,176729,2136.9,28522,78972,7502,0,57800,2399,179421,9.3,7.68,2157.12,1300.98,,,0.11,0.05,0.01,0.03,0.19,1100000000,1129000000,,127.0203333,37.58638333,179421,9.3,0.11,0.05,0.01,0.03,0.19
178,0.0569632747,0.05,경기도,의왕시,57061,831.5,10610,30779,2571,0,12068,512,59297,2.5,6.4,651.53,392.94,1.0,0.628571429,0.03,0.02,0.0,0.01,0.05,4100000000,4143000000,,126.9703889,37.34195,59297,2.5,0.03,0.02,0.0,0.01,0.05
203,0.101274978,0.1,충청남도,논산시,49004,540.0,11497,17864,2252,0,16270,725,49985,6.4,9.3,1064.09,641.76,5.0,0.486725664,0.07,0.0,0.0,0.03,0.1,4400000000,4423000000,,127.1009111,36.18420278,49985,6.4,0.07,0.0,0.0,0.03,0.1
20,0.0973225386,0.12,강원특별자치도,평창군,17758,176.1,4649,5610,777,0,6300,284,18268,5.8,7.81,372.47,224.64,2.0,0.544117647,0.06,0.0,0.01,0.05,0.12,5100000000,5176000000,,128.3923528,37.36791667,18268,5.8,0.06,0.0,0.01,0.05,0.12
31,0.075454007,0.08,충청북도,음성군,39538,406.7,8419,13833,1512,0,14551,932,40276,3.8,7.91,651.15,392.72,6.0,0.436314363,0.04,0.0,0.0,0.04,0.08,4300000000,4377000000,,127.6926222,36.93740556,40276,3.8,0.04,0.0,0.0,0.04,0.08
116,0.114644724,0.15,서울특별시,영등포구,153923,1673.3,26469,59963,5156,0,58199,2798,162232,6.9,7.42,1725.55,1040.7,,,0.07,0.03,0.01,0.04,0.15,1100000000,1156000000,,126.8983417,37.52361111,162232,6.9,0.07,0.03,0.01,0.04,0.15
184,0.0198267211,0.05,경기도,화성시,298397,4281.4,47341,152486,10112,0,80415,4773,321402,2.1,6.41,2387.18,1439.74,17.0,0.298742913,0.02,0.0,0.0,0.03,0.05,4100000000,4159000000,,126.8335306,37.19681667,321402,2.1,0.02,0.0,0.0,0.03,0.05
118,0.281594217,0.32,서울특별시,관악구,242154,1974.9,34145,73737,6109,0,119855,6811,248739,16.8,7.21,2135.44,1287.91,,,0.19,0.07,0.01,0.06,0.32,1100000000,1162000000,,126.9538444,37.47538611,248739,16.8,0.19,0.07,0.01,0.06,0.32
87,0.132114414,0.13,경상남도,밀양시,44923,440.5,11088,15306,1750,0,15731,725,45906,9.1,8.27,950.05,572.99,2.0,0.692307692,0.1,0.0,0.0,0.03,0.13,4800000000,4827000000,,128.7489444,35.50077778,45906,9.1,0.1,0.0,0.0,0.03,0.13
85,0.0803414883,0.08,경상남도,진주시,140718,1724.7,26974,62220,5497,0,43984,749,146562,5.6,7.49,1810.02,1091.65,7.0,1.838709677,0.06,0.0,0.0,0.01,0.08,4800000000,4817000000,,128.11,35.17703333,146562,5.6,0.06,0.0,0.0,0.01,0.08
194,0.105475427,0.11,강원특별자치도,양양군,11934,117.0,3051,3770,549,0,4252,206,12305,6.3,8.69,277.17,167.17,1.0,3.0,0.07,0.0,0.0,0.04,0.11,5100000000,5183000000,,128.6213556,38.07283333,12305,6.3,0.07,0.0,0.0,0.04,0.11
120,0.0988192615,0.1,서울특별시,강남구,206524,2539.0,32476,93245,6991,0,65974,6240,208553,4.2,6.96,2041.64,1231.34,3.0,1.631578947,0.04,0.03,0.0,0.02,0.1,1100000000,1168000000,,127.0495556,37.514575,208553,4.2,0.04,0.03,0.0,0.02,0.1
227,0.107759159,0.1,제주특별자치도,제주시,184488,2508.8,30451,85671,8612,0,53925,4118,191088,5.6,7.8,2293.01,1382.95,4.0,1.888888889,0.06,0.0,0.01,0.03,0.1,5000000000,5011000000,,126.5332083,33.49631111,191088,5.6,0.06,0.0,0.01,0.03,0.1
163,0.108244802,0.06,경기도,성남시,361413,4545.0,58807,172276,14845,0,108016,4025,369007,4.4,6.96,3896.08,2349.78,,,0.05,0.06,0.01,0.02,0.06,4100000000,4113500000,분당구,127.1477194,37.44749167,369007,4.4,0.05,0.06,0.01,0.02,0.06
163,0.108244802,0.06,경기도,성남시,361413,4545.0,58807,172276,14845,0,108016,4025,369007,4.4,6.96,3896.08,2349.78,,,0.05,0.06,0.01,0.02,0.06,4100000000,4113100000,수정구,127.1477194,37.44749167,369007,4.4,0.05,0.06,0.01,0.02,0.06
163,0.108244802,0.06,경기도,성남시,361413,4545.0,58807,172276,14845,0,108016,4025,369007,4.4,6.96,3896.08,2349.78,,,0.05,0.06,0.01,0.02,0.06,4100000000,4113300000,중원구,127.1477194,37.44749167,369007,4.4,0.05,0.06,0.01,0.02,0.06
19,0.142618992,0.15,강원특별자치도,영월군,16608,163.4,4444,5025,584,0,6067,360,17034,9.8,8.3,365.1,220.19,8.0,0.632978723,0.1,0.0,0.0,0.05,0.15,5100000000,5175000000,,128.4640194,37.18086111,17034,9.8,0.1,0.0,0.0,0.05,0.15
102,0.172104862,0.22,서울특별시,광진구,149905,1553.6,22878,60012,5031,0,58680,2040,151862,10.2,6.88,1406.47,848.26,,,0.11,0.08,0.02,0.02,0.22,1100000000,1121500000,,127.0845333,37.53573889,151862,10.2,0.11,0.08,0.02,0.02,0.22
56,0.114005579,0.11,전라남도,보성군,17708,165.3,4636,5087,785,0,6806,259,17805,7.2,11.38,587.9,354.57,1.0,2.5,0.07,0.0,0.0,0.03,0.11,4600000000,4678000000,,127.0820889,34.76833333,17805,7.2,0.07,0.0,0.0,0.03,0.11
98,0.144695783,0.17,서울특별시,종로구,62652,625.5,10225,23221,2480,0,24668,1630,63300,8.3,8.24,821.55,495.49,,,0.08,0.04,0.02,0.04,0.17,1100000000,1111000000,,126.9816417,37.57037778,63300,8.3,0.08,0.04,0.02,0.04,0.17
169,0.0868615739,0.07,경기도,동두천시,37297,448.7,7056,16258,1786,0,11205,715,37854,4.3,8.46,628.72,379.19,2.0,2.777777778,0.04,0.0,0.0,0.02,0.07,4100000000,4125000000,,127.0626528,37.90091667,37854,4.3,0.04,0.0,0.0,0.02,0.07
196,0.0663432963,0.06,충청북도,제천시,57422,637.7,13703,21203,1955,0,19283,710,59625,4.4,7.71,917.6,553.42,2.0,0.82300885,0.04,0.0,0.0,0.02,0.06,4300000000,4315000000,,128.1931528,37.12976944,59625,4.4,0.04,0.0,0.0,0.02,0.06
175,0.0954564116,0.09,경기도,오산시,87151,1138.9,12900,41928,3036,0,26659,1848,91768,5.0,6.44,664.13,400.55,4.0,2.142857143,0.05,0.0,0.0,0.03,0.09,4100000000,4137000000,,127.0796417,37.14691389,91768,5.0,0.05,0.0,0.0,0.03,0.09
74,0.243830254,0.23,경상북도,청송군,11512,98.4,3434,3118,394,0,4239,256,11704,18.3,9.75,326.44,196.88,,,0.19,0.0,0.0,0.04,0.23,4700000000,4775000000,,129.0594,36.43329167,11704,18.3,0.19,0.0,0.0,0.04,0.23
80,0.0806308907,0.08,경상북도,칠곡군,46237,557.1,9009,20224,1529,0,14329,692,46733,4.6,8.04,611.37,368.73,4.0,0.0821596244,0.05,0.0,0.0,0.03,0.08,4700000000,4785000000,,128.4037972,35.99254722,46733,4.6,0.05,0.0,0.0,0.03,0.08
17,0.115831788,0.11,강원특별자치도,홍천군,28356,307.0,7347,9800,1304,0,9206,477,29118,7.6,8.12,605.79,365.36,3.0,0.829268293,0.07,0.0,0.0,0.04,0.11,5100000000,5172000000,,127.8908417,37.69442222,29118,7.6,0.07,0.0,0.0,0.04,0.11
113,0.120264447,0.13,서울특별시,강서구,240135,2791.2,39793,106657,8493,0,79279,3932,243743,6.3,6.65,2425.42,1462.8,1.0,1.5,0.07,0.03,0.0,0.03,0.13,1100000000,1150000000,,126.851675,37.54815556,243743,6.3,0.07,0.03,0.0,0.03,0.13
160,0.0290650122,0.03,울산광역시,북구,76681,1147.0,14164,43396,2225,0,15677,335,79141,1.7,5.25,517.13,311.88,1.0,0.987213997,0.02,0.0,0.0,0.01,0.03,3100000000,3120000000,,129.361245,35.58270783,79141,1.7,0.02,0.0,0.0,0.01,0.03
119,0.0660833402,0.08,서울특별시,서초구,155377,2136.2,26415,75769,6656,0,42624,2521,155805,3.2,7.09,1600.55,965.31,,,0.03,0.03,0.0,0.02,0.08,1100000000,1165000000,,127.0348111,37.48078611,155805,3.2,0.03,0.03,0.0,0.02,0.08
154,0.0745932023,0.07,대전광역시,중구,96106,1169.8,18050,42763,3973,0,29525,991,97505,3.9,7.89,1386.43,836.18,,,0.04,0.0,0.0,0.02,0.07,3000000000,3014000000,,127.421381,36.32582989,97505,3.9,0.04,0.0,0.0,0.02,0.07
148,0.0888591048,0.12,인천광역시,강화군,27048,299.4,8211,8898,1608,0,7712,378,27750,5.4,9.25,799.21,482.01,,,0.06,0.01,0.0,0.05,0.12,2800000000,2871000000,,126.4878417,37.74692907,27750,5.4,0.06,0.01,0.0,0.05,0.12
126,0.11874048,0.08,부산광역시,부산진구,152433,1577.2,27893,61655,5532,0,53940,2281,156890,6.4,7.09,1976.29,1191.93,,,0.06,0.0,0.0,0.01,0.08,2600000000,2623000000,,129.0553194,35.15995278,156890,6.4,0.06,0.0,0.0,0.01,0.08
83,0.141217806,0.13,경상북도,울진군,21332,188.9,5280,6900,673,0,7883,417,21671,9.5,9.84,489.43,295.18,2.0,3.0,0.1,0.0,0.0,0.03,0.13,4700000000,4793000000,,129.4027861,36.99018611,21671,9.5,0.1,0.0,0.0,0.03,0.13
144,0.0805815867,0.08,인천광역시,남동구,203704,2736.3,34033,102233,7892,0,54361,3385,193657,4.1,6.44,2067.07,1246.68,7.0,0.538461538,0.04,0.02,0.0,0.02,0.08,2800000000,2820000000,,126.7309669,37.44971062,193657,4.1,0.04,0.02,0.0,0.02,0.08
121,0.0783794621,0.1,서울특별시,송파구,252212,3301.1,43711,123710,9770,0,68725,4258,255530,4.1,6.24,2450.94,1478.19,1.0,1.0,0.04,0.04,0.01,0.02,0.1,1100000000,1171000000,,127.1079306,37.51175556,255530,4.1,0.04,0.04,0.01,0.02,0.1
70,0.126683788,0.13,경상북도,영주시,44303,469.5,12013,15599,1625,0,14132,538,45558,9.4,8.94,923.26,556.83,2.0,0.666666667,0.09,0.0,0.0,0.03,0.13,4700000000,4721000000,,128.6263444,36.80293611,45558,9.4,0.09,0.0,0.0,0.03,0.13
112,0.0856331854,0.11,서울특별시,양천구,162867,2337.2,26916,90231,6700,0,36166,1329,165829,4.8,6.41,1770.3,1067.69,2.0,1.090909091,0.05,0.05,0.01,0.01,0.11,1100000000,1147000000,,126.8687083,37.51423056,165829,4.8,0.05,0.05,0.01,0.01,0.11
94,0.171381016,0.18,경상남도,산청군,15356,143.7,4068,4342,695,0,5801,348,15576,12.0,10.08,465.62,280.82,1.0,4.0,0.13,0.0,0.0,0.05,0.18,4800000000,4886000000,,127.8756194,35.41249167,15576,12.0,0.13,0.0,0.0,0.05,0.18
